Muni_ID,ID,Muni,dairy,other_cattle,sheep,goat,poultry,pigs,horses,total
805,1500805,Faro,244,753,11913,1961,23,1797,590,17037
806,1500806,Lagoa,357,3332,10113,464,23,744,1206,15882
807,1500807,Lagos,0,86810,9498,782,31,375,6530,104026
808,1500808,Loulé,1836,8896,74918,13353,79,997,5280,103523
809,1500809,Monchique,49,56133,4221,1226,48,5864,1610,69102
810,1500810,Olhão,2762,2824,6332,1455,12,58,1813,12494
811,1500811,Portimão,0,24349,7741,1012,17,575,3916,37610
812,1500812,São Brás de Alportel,0,879,10262,1951,3,82,801,13978
813,1500813,Silves,910,41304,60106,6437,79,2242,5438,115606
814,1500814,Tavira,829,10024,25248,5837,38,384,8527,50058
815,1500815,Vila do Bispo,0,44763,23708,1200,6,50,1012,70739
816,1500816,Vila Real de Santo António,2144,773,3917,4924,5,17,845,10481
