Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip,microaspersion
203,1840203,Alvito,15000,95000,12144,19726,529320,930930,60492
204,1840204,Barrancos,0,15000,0,0,0,11976,0
205,1840205,Beja,22500,550000,292177,1394724,8960147,19525330,0
206,1840206,Castro Verde,37500,75000,0,182820,480010,2073535,6156
207,1840207,Cuba,15000,430000,176600,4554512,3681223,3635000,3480
208,1840208,Ferreira do Alentejo,622500,4570000,152052,10534743,7816018,37519498,568530
209,1840209,M�rtola,0,75000,29370,0,375660,2410098,0
210,1840210,Moura,0,185000,150989,136706,1376889,16947486,80028
212,1840212,Ourique,675000,230000,52414,65376,3407673,180347,6156
213,1840213,Serpa,0,50000,392210,373218,6198039,27859950,0
214,1840214,Vidigueira,15000,220000,35001,70836,1047349,10368235,20152
1403,1851403,Almeirim,622500,5020000,1996998,67270,8826727,14204874,239902
1404,1851404,Alpiar�a,690000,280000,3587182,0,6224041,8454777,151890
1103,1851103,Azambuja,1395000,8370000,1249372,250157,4289986,7585465,0
1405,1851405,Benavente,435000,53550000,1352791,955083,23480613,8246371,20680
1406,1851406,Cartaxo,2467500,1190000,446321,217132,5697886,10811211,5270
1407,1851407,Chamusca,4140000,10885000,5449246,520392,11401697,6267084,114504
1409,1851409,Coruche,3780000,46315000,2132504,1059881,27399686.5,6942915,192598
1412,1851412,Goleg�,8047500,35000,5739791,117515,12971831,3203765,0
1414,1851414,Rio Maior,112500,50000,2115307,950288,2046728,2250169,0
1415,1851415,Salvaterra de Magos,1260000,7960000,1134285,185985,13763316,4672497,27154
1416,1851416,Santar�m,3232500,790000,3128825,1780109,8655814,6928574,77680
801,1500801,Albufeira,15000,230000,0,50379,0,1641039,424133
802,1500802,Alcoutim,7500,35000,19628,0,0,146594,0
803,1500803,Aljezur,1080000,830000,48658,1638378,172700,137279,0
804,1500804,Castro Marim,30000,215000,776998,719700,0,800804,21852
805,1500805,Faro,37500,185000,290611,29515,0,5980385,260252
806,1500806,Lagoa,0,3365000,6705,7822,0,1153313,153420
807,1500807,Lagos,225000,205000,847696,581360,0,710885,8730
808,1500808,Loul�,165000,230000,29461,0,47019,3597705,804803
809,1500809,Monchique,202500,765000,489549,0,0,626900,67766
810,1500810,Olh�o,67500,195000,45896,0,0,6890272,103152
811,1500811,Portim�o,37500,450000,372256,35985,255246,1116297,270506
812,1500812,S�o Br�s de Alportel,0,225000,18326,0,0,465840,23054
813,1500813,Silves,180000,2315000,380296,7197,0,16636266,1495941
814,1500814,Tavira,22500,275000,162839,0,0,8096874,111485
815,1500815,Vila do Bispo,112500,70000,130928,0,0,34080,0
816,1500816,Vila Real de Santo Ant�nio,0,40000,25081,0,0,418115,0
