CAA_ID,Muni_ID,Full_ID,Muni,uaa09,poly_sum,poly_corr,lf09
314,109,1160109,SANTA MARIA DA FEIRA,1240,4557,23,16.23
315,109,1160109,SANTA MARIA DA FEIRA,1240,4557,45,18.75
316,109,1160109,SANTA MARIA DA FEIRA,1240,4557,24,14.25
317,109,1160109,SANTA MARIA DA FEIRA,1240,4557,62,13.29
318,109,1160109,SANTA MARIA DA FEIRA,1240,4557,16,18.75
319,109,1160109,SANTA MARIA DA FEIRA,1240,4557,0,18.75
320,109,1160109,SANTA MARIA DA FEIRA,1240,4557,10,7.26
321,109,1160109,SANTA MARIA DA FEIRA,1240,4557,26,10.78
322,109,1160109,SANTA MARIA DA FEIRA,1240,4557,13,12.5
323,109,1160109,SANTA MARIA DA FEIRA,1240,4557,118,10.26
324,109,1160109,SANTA MARIA DA FEIRA,1240,4557,49,18.75
325,109,1160109,SANTA MARIA DA FEIRA,1240,4557,89,17.36
326,109,1160109,SANTA MARIA DA FEIRA,1240,4557,21,18.75
327,109,1160109,SANTA MARIA DA FEIRA,1240,4557,13,12.82
328,109,1160109,SANTA MARIA DA FEIRA,1240,4557,12,18.75
329,109,1160109,SANTA MARIA DA FEIRA,1240,4557,10,18.75
330,109,1160109,SANTA MARIA DA FEIRA,1240,4557,15,18.75
331,110,1610110,�lhavo,822,2905,15,9.72
332,110,1610110,�lhavo,822,2905,83,11.29
333,110,1610110,�lhavo,822,2905,159,9.98
334,110,1610110,�lhavo,822,2905,157,11.82
335,110,1610110,�lhavo,822,2905,33,10.92
336,110,1610110,�lhavo,822,2905,57,10.89
337,110,1610110,�lhavo,822,2905,55,12.5
338,110,1610110,�lhavo,822,2905,112,13.63
339,110,1610110,�lhavo,822,2905,67,15.97
340,110,1610110,�lhavo,822,2905,84,13.77
341,110,1610110,�lhavo,822,2905,0,12.5
342,111,1610111,MEALHADA,1708,1699,17,18.75
343,111,1610111,MEALHADA,1708,1699,3,16.96
344,111,1610111,MEALHADA,1708,1699,32,15.42
345,111,1610111,MEALHADA,1708,1699,167,12.54
346,111,1610111,MEALHADA,1708,1699,70,20.09
347,111,1610111,MEALHADA,1708,1699,35,15.09
348,111,1610111,MEALHADA,1708,1699,226,14.54
349,111,1610111,MEALHADA,1708,1699,34,17.63
350,111,1610111,MEALHADA,1708,1699,43,18.55
351,111,1610111,MEALHADA,1708,1699,132,15.13
352,111,1610111,MEALHADA,1708,1699,69,14.55
353,111,1610111,MEALHADA,1708,1699,114,11.81
354,111,1610111,MEALHADA,1708,1699,62,12.5
355,111,1610111,MEALHADA,1708,1699,21,12.5
356,111,1610111,MEALHADA,1708,1699,29,12.5
357,111,1610111,MEALHADA,1708,1699,268,24.09
358,111,1610111,MEALHADA,1708,1699,8,25
359,111,1610111,MEALHADA,1708,1699,17,25
360,111,1610111,MEALHADA,1708,1699,85,14.74
361,111,1610111,MEALHADA,1708,1699,75,16.19
362,111,1610111,MEALHADA,1708,1699,0,37.5
363,111,1610111,MEALHADA,1708,1699,0,37.5
364,111,1610111,MEALHADA,1708,1699,50,12.2
365,111,1610111,MEALHADA,1708,1699,33,25
366,111,1610111,MEALHADA,1708,1699,90,12.99
367,111,1610111,MEALHADA,1708,1699,7,25
368,111,1610111,MEALHADA,1708,1699,17,36.54
369,112,1610112,MURTOSA,1437,3036,204,10.9
370,112,1610112,MURTOSA,1437,3036,1106,14.39
371,112,1610112,MURTOSA,1437,3036,87,11.1
372,112,1610112,MURTOSA,1437,3036,17,12.5
373,112,1610112,MURTOSA,1437,3036,23,10.31
374,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,0,12.5
375,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,0,12.5
376,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,11,14.29
377,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,12,12.5
378,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,37,12.5
379,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,16,13.32
380,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,170,13.7
381,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,11,18.75
382,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,27,18.75
383,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,9,12.5
384,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,11,12.5
385,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,0,14.12
386,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,32,18.75
387,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,72,11.46
388,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,47,6.03
389,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,1,16.67
390,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,19,7.92
391,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,12,18.75
392,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,12,18.75
393,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,0,18.75
394,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,83,16
395,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,38,12.77
396,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,61,15.58
397,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,13,13.67
398,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,45,13.13
399,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,56,13.49
400,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,119,10.47
401,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,49,12.76
402,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,5,18.75
403,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,13,12.5
404,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,62,14.86
405,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,144,12.96
406,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,2,12.5
407,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,86,12.5
408,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,40,12.5
409,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,1,17.5
410,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,13,12.89
411,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,16,12.5
412,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,42,12.5
413,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,14,18.75
414,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,10,14.13
415,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,24,13.52
416,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,16,15.71
417,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,27,13.65
418,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,32,18.75
419,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,16,12.5
420,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,15,16.25
421,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,36,13.58
422,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,13,18.75
423,113,1160113,OLIVEIRA DE AZEM�?IS,1603,4801,13,18.75
424,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,792,14.54
425,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,28,11.36
426,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,20,12.5
427,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,34,20.83
428,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,137,12.27
429,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,0,12.5
430,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,235,18.25
431,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,11,7.81
432,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,38,15.83
433,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,151,19.26
434,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,55,15.48
435,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,40,16.41
436,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,41,13.04
437,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,85,18.22
438,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,35,14.01
439,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,0,12.5
440,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,5,12.5
441,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,25,17.33
442,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,37,12.74
443,114,1610114,OLIVEIRA DO BAIRRO,1779,1751,6,18.75
