"Muni_ID","ID","Muni","Bovine","Equides","Goats","Poultry","Rabbits","Sheep","Swine","total"
614,"1640614","Penela",4649.8791,616,4766.12,2885.44,10827,19386.6,2168,45299.0391
616,"1640616","Tábua",5770.8579,1496,5991.88,7182.69,23112,43062.9,7729,94345.3279
617,"1640617","Vila Nova de Poiares",2181.8632,176,1388.76,1197.16,5769,1580,1332.5,13625.2832
901,"1650901","Aguiar da Beira",77339.7019,1958,1173.6,284900.13,22590,36284.7,37876,462122.1319
1802,"1651802","Carregal do Sal",2053.4316,1276,2927.48,99663.7,18774,21780.3,14374,160848.9116
1803,"1651803","Castro Daire",62642.4793,3762,13053.04,180610.09,34731,32390,15212,342400.6093
1806,"1651806","Mangualde",2870,2904,3436.04,47490.4,50337,65585.8,8074.5,180697.74
1808,"1651808","Mortágua",9677.0371,528,958.44,88067.44,257571,39136.6,10355,406293.5171
1809,"1651809","Nelas",755,1936,2014.68,129921.71,17442,29230,3958.5,185257.89
1810,"1651810","Oliveira de Frades",90518.16,220,4844.36,850543.58,104805,11415.5,12820,1075166.6
1811,"1651811","Penalva do Castelo",8258.0159,462,1453.96,39928.12,11430,23249.7,2898,87679.7959
1814,"1651814","Santa Comba Dão",14355.8579,88,1734.32,93196.78,171702,22167.4,54820.5,358064.8579
1816,"1651816","São Pedro do Sul",120642.1696,2772,11038.36,604400.72,63999,32058.2,18947.5,853857.9496
1817,"1651817","Sátão",66685.0911,2728,3025.28,280955.93,105273,17680.2,11266.5,487614.0011
1821,"1651821","Tondela",52241.6744,1430,4857.4,836838.38,59454,77854.5,21004,1053679.9544
1822,"1651822","Vila Nova de Paiva",51681.0699,4642,6044.04,184424.88,130473,14773,3683,395720.9899
1823,"1651823","Viseu",32114.2481,5368,4075,185570.36,88020,74955.2,12916.5,403019.3081
1824,"1651824","Vouzela",77238.7645,396,2666.68,408223.65,206226,25366.9,13969.5,734087.4945
1413,"1661413","Mação",15495.8579,2112,8639,5038.27,15939,10356.9,8894.5,66475.5279
506,"1660506","Oleiros",340,154,14259.24,5026.15,103005,2717.6,3815.5,129317.49
508,"1660508","Proença-a-Nova",7165.8579,4290,35266.68,10045.53,31581,15713.1,6399.5,110461.6679
509,"1660509","Sertã",12822.0371,1276,25134.6,12465.9,68247,17459,83487.5,220892.0371
