"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip"
"191",1109,"1711109","Mafra",2,0,5,0,0,0
"192",1116,"1711116","Odivelas",0,0,0,0,0,0
"193",1110,"1711110","Oeiras",0,0,0,0,0,0
"194",1111,"1711111","Sintra",0,0,14,2,0,0
"195",1114,"1711114","Vila Franca de Xira",29,0,0,12,258,0
"196",1502,"1721502","Alcochete",0,0,10,0,16,0
"197",1503,"1721503","Almada",0,0,1,0,0,0
"198",1504,"1721504","Barreiro",0,0,3,0,0,0
"199",1506,"1721506","Moita",0,0,27,353,0,0
"200",1507,"1721507","Montijo",0,0,0,0,0,0
"201",1508,"1721508","Palmela",0,0,54,276,192,0
"202",1510,"1721510","Seixal",0,0,2,0,0,0
"203",1511,"1721511","Sesimbra",0,0,3,3,0,0
"204",1512,"1721512","Setúbal",0,0,6,6,0,0
"205",1501,"1811501","Alcácer do Sal",0,0,12,7,86,0
"206",1505,"1811505","Grândola",6,0,44,36,117,0
"207",211,"1810211","Odemira",171,0,13,264,698,0
"208",1509,"1811509","Santiago do Cacém",6,0,35,0,0,0
"209",1513,"1811513","Sines",0,0,0,32,0,0
"210",1201,"1821201","Alter do Chão",0,0,6,0,18,0
"211",1202,"1821202","Arronches",0,0,0,0,0,0
"212",1203,"1821203","Avis",0,0,0,0,206,0
"213",1204,"1821204","Campo Maior",0,0,0,0,0,0
"214",1205,"1821205","Castelo de Vide",0,0,4,0,0,0
"215",1206,"1821206","Crato",0,0,0,66,4,0
"216",1207,"1821207","Elvas",0,0,27,0,212,0
"217",1208,"1821208","Fronteira",0,0,0,0,72,0
"218",1209,"1821209","Gavião",0,0,16,0,0,0
"219",1210,"1821210","Marvão",0,0,17,0,0,0
"220",1211,"1821211","Monforte",0,0,0,0,32,0
"221",707,"1820707","Mora",0,0,0,0,28,0
"222",1212,"1821212","Nisa",0,0,127,0,0,0
"223",1213,"1821213","Ponte de Sor",20,0,3,8,21,0
"224",1214,"1821214","Portalegre",13,0,40,4,44,0
"225",701,"1830701","Alandroal",0,0,0,0,0,0
"226",702,"1830702","Arraiolos",0,0,0,24,181,0
"227",703,"1830703","Borba",0,0,0,0,0,0
"228",704,"1830704","Estremoz",13,0,0,0,30,0
"229",705,"1830705","Évora",0,0,0,0,205,0
"230",706,"1830706","Montemor-o-Novo",5,0,3,35,797,0
"231",708,"1830708","Mourão",0,0,0,0,0,0
"232",709,"1830709","Portel",0,0,0,0,157,0
"233",710,"1830710","Redondo",0,0,0,0,15,0
"234",711,"1830711","Reguengos de Monsaraz",0,0,0,0,0,0
"235",1215,"1831215","Sousel",0,0,0,0,59,0
"236",712,"1830712","Vendas Novas",0,0,0,21,24,0
"237",713,"1830713","Viana do Alentejo",0,0,0,4,64,0
"238",714,"1830714","Vila Viçosa",0,0,0,0,0,0
"239",201,"1840201","Aljustrel",0,0,0,0,66,0
"240",202,"1840202","Almodôvar",1,0,0,0,0,0
"241",203,"1840203","Alvito",0,0,0,0,0,0
"242",204,"1840204","Barrancos",0,0,0,0,0,0
"243",205,"1840205","Beja",0,0,0,0,0,0
"244",206,"1840206","Castro Verde",0,0,0,0,0,0
"245",207,"1840207","Cuba",0,0,0,0,0,0
"246",208,"1840208","Ferreira do Alentejo",0,0,1,77,92,0
"247",209,"1840209","Mértola",0,0,0,0,0,0
"248",210,"1840210","Moura",0,0,0,0,0,0
"249",212,"1840212","Ourique",25,0,0,12,137,0
"250",213,"1840213","Serpa",0,0,0,0,3,0
"251",214,"1840214","Vidigueira",0,0,0,0,11,0
"252",1403,"1851403","Almeirim",12,0,0,1,12,0
"253",1404,"1851404","Alpiarça",0,0,0,0,0,0
"254",1103,"1851103","Azambuja",0,0,1,11,6,0
"255",1405,"1851405","Benavente",16,0,3,11,1239,0
"256",1406,"1851406","Cartaxo",8,0,0,0,0,0
"257",1407,"1851407","Chamusca",1,0,245,0,0,0
"258",1409,"1851409","Coruche",222,0,60,14,215,0
"259",1412,"1851412","Golegã",0,0,0,0,0,0
"260",1414,"1851414","Rio Maior",0,0,0,14,36,0
"261",1415,"1851415","Salvaterra de Magos",7,0,0,0,76,0
"262",1416,"1851416","Santarém",5,0,18,0,113,0
"263",801,"1500801","Albufeira",0,0,0,0,0,0
"264",802,"1500802","Alcoutim",0,0,6,0,0,0
"265",803,"1500803","Aljezur",12,0,5,93,0,0
"266",804,"1500804","Castro Marim",3,0,1,0,0,0
"267",805,"1500805","Faro",0,0,0,0,0,0
"268",806,"1500806","Lagoa",0,0,0,1,0,0
"269",807,"1500807","Lagos",3,0,6,0,0,0
"270",808,"1500808","Loulé",2,0,0,0,0,0
"271",809,"1500809","Monchique",8,0,8,0,0,0
"272",810,"1500810","Olhão",0,0,1,0,0,0
"273",811,"1500811","Portimão",1,0,3,0,0,0
"274",812,"1500812","São Brás de Alportel",0,0,0,0,0,0
"275",813,"1500813","Silves",6,0,8,0,0,0
"276",814,"1500814","Tavira",0,0,5,0,0,0
"277",815,"1500815","Vila do Bispo",0,0,0,0,0,0
"278",816,"1500816","Vila Real de Santo António",0,0,0,0,0,0
