Muni_ID,ID,Muni,tot_input,irrig_tot_input,diff_tot_input,gnb,irrig_gnb,diff_gnb,nue,irrig_nue,diff_nue
1006,16B1006,Caldas da Rainha,186.198802101,204.168315561,17.96951346,152,170,18,18,16,-2
1108,16B1108,Lourinhã,371.450669115,378.658691814,7.20802269899997,298,306,8,19,19,0
1011,16B1011,Nazaré,222.696646547,225.290546653,2.59390010600001,106,109,3,51,51,0
1012,16B1012,Óbidos,186.15266077,187.48665117,1.3339904,158,160,2,14,14,0
1014,16B1014,Peniche,192.937023182,196.428982114,3.49195893200002,126,130,4,34,33,-1
1112,16B1112,Sobral de Monte Agraço,143.637023182,143.829749045,0.192725862999993,62,62,0,56,56,0
1113,16B1113,Torres Vedras,159.812575255,160.982524336,1.169949081,111,112,1,30,30,0
1401,16C1401,Abrantes,63.620971438,64.178743796,0.557772358000001,35,35,0,44,43,-1
1402,16C1402,Alcanena,85.237023182,85.374883095,0.137859913,43,43,0,48,48,0
1408,16C1408,Constância,169.437023182,169.437023182,0,92,92,0,45,45,0
1410,16C1410,Entroncamento,113.837023182,153.586005572,39.74898239,74,113,39,34,25,-9
1411,16C1411,Ferreira do Zêzere,611.737023182,615.238790747,3.50176756500002,586,590,4,4,4,0
1421,16C1421,Ourém,314.555177302,314.555177302,0,268,268,0,14,14,0
1417,16C1417,Sardoal,68.337023182,68.337023182,0,45,45,0,33,33,0
1418,16C1418,Tomar,134.340492397,135.606200139,1.26570774200002,96,97,1,28,28,0
1419,16C1419,Torres Novas,84.237023182,84.237023182,0,53,53,0,36,36,0
1420,16C1420,Vila Nova da Barquinha,143.537023182,143.537023182,0,106,106,0,25,25,0
1115,1711115,Amadora,37.437023182,37.437023182,0,8,8,0,76,76,0
1105,1711105,Cascais,94.396484699,94.396484699,0,63,63,0,33,33,0
1106,1711106,Lisboa,220.137023182,221.551333527,1.41431034499999,178,180,2,18,18,0
1107,1711107,Loures,166.62824563,169.240781794,2.61253616400001,92,94,2,44,43,-1
1109,1711109,Mafra,156.411065194,179.766462564,23.35539737,80,103,23,48,42,-6
1116,1711116,Odivelas,45.937023182,45.971023182,0.0339999999999989,3,3,0,91,91,0
1110,1711110,Oeiras,116.93940513,117.03540513,0.0960000000000036,106,106,0,8,8,0
1111,1711111,Sintra,110.143979408,110.435314166,0.291334757999991,54,54,0,50,50,0
1114,1711114,Vila Franca de Xira,149.538502906,155.049866813,5.511363907,84,89,5,43,42,-1
1502,1721502,Alcochete,78.337023182,80.774540219,2.43751703700001,34,37,3,55,53,-2
1503,1721503,Almada,349.0978902,351.208597747,2.110707547,250,252,2,28,28,0
1504,1721504,Barreiro,128.237023182,130.643649688,2.40662650600001,25,27,2,80,78,-2
1506,1721506,Moita,247.337023182,254.519760251,7.18273706899998,-3,3,6,101,98,-3
1507,1721507,Montijo,105.258108684,105.730621532,0.472512847999994,65,65,0,37,37,0
1508,1721508,Palmela,77.543992792,78.500449334,0.956456541999998,32,33,1,58,57,-1
1510,1721510,Seixal,27.489284387,31.595618698,4.106334311,10,14,4,62,54,-8
1511,1721511,Sesimbra,76.01539453,79.652237202,3.636842672,55,59,4,26,25,-1
1512,1721512,Setúbal,61.337023182,69.363656538,8.02663335600001,30,38,8,50,44,-6
1501,1811501,Alcácer do Sal,44,50.431876657,6.431876657,17,23,6,60,53,-7
1505,1811505,Grândola,38.007028243,38.722797091,0.715768847999996,18,19,1,51,50,-1
211,1810211,Odemira,55.2,55.2,0,21,21,0,61,61,0
1509,1811509,Santiago do Cacém,55.5,59.79516188,4.29516188,24,29,5,55,51,-4
1513,1811513,Sines,48.102179988,49.516418532,1.414238544,21,23,2,54,53,-1
1201,1821201,Alter do Chão,47.4,47.822015457,0.422015457000001,16,16,0,65,64,-1
1202,1821202,Arronches,55.609262963,55.777487284,0.168224320999997,20,20,0,63,62,-1
1203,1821203,Avis,48.3,53.971233783,5.67123378300001,23,29,6,51,45,-6
1204,1821204,Campo Maior,75.8,76.744939373,0.944939372999997,37,38,1,50,50,0
1205,1821205,Castelo de Vide,54.239687425,54.305830783,0.0661433579999979,27,27,0,50,50,0
1206,1821206,Crato,47.212525036,47.212525036,0,13,13,0,70,70,0
1207,1821207,Elvas,66.396163687,67.528152891,1.13198920400001,29,30,1,55,54,-1
1208,1821208,Fronteira,59.1,64.117753734,5.01775373400001,27,32,5,53,49,-4
1209,1821209,Gavião,22.202101359,23.23550938,1.033408021,10,11,1,54,52,-2
1210,1821210,Marvão,42.738257101,43.704334757,0.966077655999996,19,20,1,54,53,-1
1211,1821211,Monforte,59.3,61.005106234,1.705106234,18,20,2,68,66,-2
707,1820707,Mora,41,41.883949488,0.883949487999999,17,18,1,56,55,-1
1212,1821212,Nisa,36.368565493,36.611010256,0.242444763000002,14,14,0,60,60,0
1213,1821213,Ponte de Sor,31.006736508,31.474642265,0.467905757000001,15,15,0,51,50,-1
1214,1821214,Portalegre,47.40914384,47.595091166,0.185947326000004,14,14,0,70,70,0
701,1830701,Alandroal,48.6,48.6,0,18,18,0,62,62,0
702,1830702,Arraiolos,52.2,55.184774075,2.984774075,22,25,3,56,53,-3
703,1830703,Borba,62.2,64.053363914,1.853363914,30,32,2,51,49,-2
704,1830704,Estremoz,49.8,53.175314175,3.375314175,23,27,4,52,49,-3
705,1830705,Évora,52.9,55.331422366,2.431422366,21,24,3,58,56,-2
706,1830706,Montemor-o-Novo,54.202132311,54.202132311,0,21,21,0,60,60,0
708,1830708,Mourão,37.1,37.195440385,0.0954403849999963,10,10,0,71,71,0
709,1830709,Portel,49.958667294,50.596475307,0.637808012999997,21,22,1,56,55,-1
710,1830710,Redondo,52.4,52.4,0,20,20,0,60,60,0
711,1830711,Reguengos de Monsaraz,47.1,54.996380271,7.896380271,23,30,7,50,43,-7
1215,1831215,Sousel,61.120282748,63.119975242,1.999692494,33,35,2,45,44,-1
712,1830712,Vendas Novas,57,57,0,35,35,0,37,37,0
713,1830713,Viana do Alentejo,48.3,52.615184115,4.315184115,17,22,5,62,57,-5
714,1830714,Vila Viçosa,52.600932125,52.742771147,0.141839021999999,18,18,0,65,65,0
201,1840201,Aljustrel,68.4,72.475042515,4.07504251499999,40,44,4,40,38,-2
202,1840202,Almodôvar,28.9,28.917900169,0.0179001690000007,11,11,0,61,61,0
203,1840203,Alvito,48.801042179,49.618773509,0.817731330000001,15,16,1,68,67,-1
204,1840204,Barrancos,40.3,40.31125334,0.0112533399999961,11,11,0,71,71,0
205,1840205,Beja,64.600741003,65.310341403,0.709600399999999,41,42,1,35,35,0
206,1840206,Castro Verde,43.882996442,44.550356357,0.667359914999999,20,21,1,52,51,-1
207,1840207,Cuba,64.9,76.92183473,12.02183473,36,48,12,43,36,-7
208,1840208,Ferreira do Alentejo,66.3,74.371967753,8.071967753,42,50,8,36,32,-4
209,1840209,Mértola,28.9,28.905802173,0.00580217300000285,12,12,0,57,57,0
210,1840210,Moura,51.8,52.28470324,0.484703240000002,27,27,0,47,47,0
212,1840212,Ourique,43.6,44.199209957,0.599209956999999,19,20,1,54,53,-1
213,1840213,Serpa,56.2,63.673205001,7.473205001,32,39,7,42,37,-5
214,1840214,Vidigueira,56.204062697,57.503425132,1.29936243500001,35,37,2,36,35,-1
1403,1851403,Almeirim,101.859363234,108.821067237,6.96170400300001,68,75,7,33,30,-3
1404,1851404,Alpiarça,131.837023182,143.741347722,11.90432454,81,93,12,38,35,-3
1103,1851103,Azambuja,101.714177687,101.714177687,0,58,58,0,42,42,0
1405,1851405,Benavente,116.387148767,119.633720037,3.24657126999999,53,56,3,54,52,-2
1406,1851406,Cartaxo,239.237023182,242.295836596,3.05881341400001,191,194,3,19,19,0
1407,1851407,Chamusca,61.670430357,66.592936638,4.922506281,28,33,5,54,50,-4
1409,1851409,Coruche,59.166342805,183.527274705,124.3609319,27,151,124,53,17,-36
1412,1851412,Golegã,249.197484092,277.236925962,28.03944187,137,165,28,44,40,-4
1414,1851414,Rio Maior,163.337023182,164.477459991,1.14043680899999,132,133,1,18,18,0
1415,1851415,Salvaterra de Magos,145.638801443,221.451707653,75.81290621,79,155,76,45,29,-16
1416,1851416,Santarém,128.736224216,136.120350684,7.38412646800001,78,85,7,39,37,-2
801,1500801,Albufeira,103.14819465,103.619677114,0.471482464000005,85,86,1,16,16,0
802,1500802,Alcoutim,34,34,0,25,25,0,25,25,0
803,1500803,Aljezur,60.831081458,60.831081458,0,24,24,0,60,60,0
